ACTION: Player1 | {FV | dRot: 0, dMovX: 6, dMovY: 6, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.5, HP: 20, TC: 1, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: -8, dMovY: -8, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 22, HP: 20, TC: 1, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.518069, HP: 20, TC: 2, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0102401, vX: 0, vY: 0.32, DP: 0, dDP: 0, distObst: 21.9898, HP: 20, TC: 2, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.537404, HP: 20, TC: 3, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0194559, vX: 0, vY: 0.608, DP: 0, dDP: 0, distObst: 21.9703, HP: 20, TC: 3, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.55806, HP: 20, TC: 4, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0277505, vX: 0, vY: 0.8672, DP: 0, dDP: 0, distObst: 21.9426, HP: 20, TC: 4, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.580097, HP: 20, TC: 5, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0352154, vX: 0, vY: 1.10048, DP: 0, dDP: 0, distObst: 21.9073, HP: 20, TC: 5, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.603589, HP: 20, TC: 6, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.041934, vX: 0, vY: 1.31043, DP: 0, dDP: 0, distObst: 21.8654, HP: 20, TC: 6, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.628618, HP: 20, TC: 7, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0479803, vX: 0, vY: 1.49939, DP: 0, dDP: 0, distObst: 21.8174, HP: 20, TC: 7, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.655277, HP: 20, TC: 8, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0534225, vX: 0, vY: 1.66945, DP: 0, dDP: 0, distObst: 21.764, HP: 20, TC: 8, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.683672, HP: 20, TC: 9, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.05832, vX: 0, vY: 1.8225, DP: 0, dDP: 0, distObst: 21.7057, HP: 20, TC: 9, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.713922, HP: 20, TC: 10, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0627279, vX: 0, vY: 1.96025, DP: 0, dDP: 0, distObst: 21.643, HP: 20, TC: 10, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.746162, HP: 20, TC: 11, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0666952, vX: 0, vY: 2.08423, DP: 0, dDP: 0, distObst: 21.5763, HP: 20, TC: 11, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.73754, HP: 20, TC: 12, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0702658, vX: 0, vY: 2.19581, DP: 0, dDP: 0, distObst: 21.506, HP: 20, TC: 12, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.623017, HP: 20, TC: 13, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
