ACTION: Player1 | {FV | dRot: 0, dMovX: 6, dMovY: 6, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 8, HP: 20, TC: 1, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: -8, dMovY: -8, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 22, HP: 20, TC: 1, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0102401, vX: 0, vY: 0.32, DP: 0, dDP: 0, distObst: 7.98976, HP: 20, TC: 2, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0102401, vX: 0, vY: 0.32, DP: 0, dDP: 0, distObst: 21.9898, HP: 20, TC: 2, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0194559, vX: 0, vY: 0.608, DP: 0, dDP: 0, distObst: 7.9703, HP: 20, TC: 3, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0194559, vX: 0, vY: 0.608, DP: 0, dDP: 0, distObst: 21.9703, HP: 20, TC: 3, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0277505, vX: 0, vY: 0.8672, DP: 0, dDP: 0, distObst: 7.94255, HP: 20, TC: 4, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0277505, vX: 0, vY: 0.8672, DP: 0, dDP: 0, distObst: 21.9426, HP: 20, TC: 4, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0352154, vX: 0, vY: 1.10048, DP: 0, dDP: 0, distObst: 7.90734, HP: 20, TC: 5, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0352154, vX: 0, vY: 1.10048, DP: 0, dDP: 0, distObst: 21.9073, HP: 20, TC: 5, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.041934, vX: 0, vY: 1.31043, DP: 0, dDP: 0, distObst: 7.8654, HP: 20, TC: 6, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.041934, vX: 0, vY: 1.31043, DP: 0, dDP: 0, distObst: 21.8654, HP: 20, TC: 6, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0479803, vX: 0, vY: 1.49939, DP: 0, dDP: 0, distObst: 7.81742, HP: 20, TC: 7, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0479803, vX: 0, vY: 1.49939, DP: 0, dDP: 0, distObst: 21.8174, HP: 20, TC: 7, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0534225, vX: 0, vY: 1.66945, DP: 0, dDP: 0, distObst: 7.764, HP: 20, TC: 8, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0534225, vX: 0, vY: 1.66945, DP: 0, dDP: 0, distObst: 21.764, HP: 20, TC: 8, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.05832, vX: 0, vY: 1.8225, DP: 0, dDP: 0, distObst: 7.70568, HP: 20, TC: 9, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.05832, vX: 0, vY: 1.8225, DP: 0, dDP: 0, distObst: 21.7057, HP: 20, TC: 9, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0627279, vX: 0, vY: 1.96025, DP: 0, dDP: 0, distObst: 7.64295, HP: 20, TC: 10, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
