GAME START
INIT: player0::TestAI vs Player1::a
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
ACTION: player0 | Torque3D.Util.FeatureVector -> None
ACTION: Player1 | Torque3D.Util.FeatureVector -> None
